_id,word1,word2
176,ለመኖር,"Jiraachuuf, Jirachuuf"
177,ለመያዝ,"Qabachuuf, Qabuuf"
178,ለመድሃኒት,Qorichaaf
179,ለመግቢያ,Seensaafi
180,ለመጠየቅ,Gaafachuuf
181,ለመጨረስ,Xumuruuf
182,ለመፍረስ,Jiguuf
183,ለመፍጠር,Uumuuf
184,ለሚ,Lataa
185,ለማ,Misoomee
186,ለማሳመን,Amnsiisuuf
187,ለማሳቅ,Kolfisisuuf
188,ለማሳጠር,Gabaabsufi
189,ለማስቀየር,Jijjiirrachuuf
190,ለማስተካከል,Sirreessuuf
191,ለማስዋል,Oolchuuf
192,ለማስጠንቀቂያ,Akeekaafi
193,ለማስፋት,Bal’dhifachuuf
194,ለማስፋፋት,Babal’isuuf
195,ለማረጋጋት,Tasgabbeessuuf
196,ለማቀናጀት,Qindessuuf
197,ለማቆየት,Tursiisuf
198,ለማብራት,"Ibsachuuf, Ibsuuf"
199,ለማንኛዉም,"Kamifiyyuu, Maalumaafu"
200,ለማኝ,"Kadhataa, Kadhattuu, Kadhatuu"
201,ለማከም,Wal’aanuuf
202,ለማካሄድ,Adeemsisuf
203,ለማዉጣት,Baafachuuf
204,ለማድረግ,Taasisuf
205,ለማግባት,Fuudhaafi
206,ለማግኘት,Argachuuf
207,ለማጠንከር,Jabeessuuf
208,ለማጥፋት,"Baleessuf, Balleessudhaaf"
209,ለማፅዳት,Qulqullinaafis
210,ለማፋጠን,Saffisiisuuf
211,ለማፍረስ,Jiguuf
212,ለምለም,Marga
213,ለምላሚ,Leellistuu
214,ለምሳሌ,Fakeenyaaf
215,ለምርቃት,Eebbaaf
216,ለምነዉ,Kadhatanii
217,ለምኑ,Kadhaa
218,ለምን,"Maaf, Maalif, Maaliif"
219,ለምንድነዉ,Maaliifi
220,ለምክኒያት,Sababaafi
221,ለሞያ,Ogummaafi
222,ለሰዉ,Namaaf
223,ለሰዉዬዉ,Namichaatiif
224,ለሱ,Isaaf
225,ለሱም,Isaafis
226,ለሳምንት,Torbaniifi
227,ለሴይጣን,Seexanaafi
228,ለስላሳ,Lallafaa
229,ለስም,Maqaaf
230,ለስራ,"Hojiif, Jiruuf"
231,ለሶስተኛ,Sadaffaaf
232,ለሷ,Isheef
233,ለራሴ,Kiyyaaf
234,ለራስ,Ofiif
235,ለራስም,Ofiifis
236,ለቀመ,Funaane
237,ለቀቀ,"Gadhiise, Lakkisee"
238,ለቀቀች,Gadhiifte
239,ለቀቁ,"Gaddhiisanii, Gadhiisanii"
240,ለቁርጥማት,Nyaataaf
241,ለቁጥር,Lakkoofsaafi
242,ለቃሚ,Funaantuu
243,ለቅሶ,"Boo’icha, Boo’iicha, Booyicha, Hammeenya, Ta’aziyaa"
244,ለበሰ,Uffatee
245,ለባዳ,Ormaatti
246,ለብስ,Huccuu
247,ለብርድ,Qooraafi
248,ለብቻ,"Kophaatti, Leexaa, Qofaa"
249,ለብዛት,Baay’inaafi
250,ለተስፋ,Abdiif
251,ለትርፍ,Bu’aafi
252,ለትንሽ,Muraasaaf
253,ለትግል,Wal’aansoofi
254,ለነሱ,Isaanif
255,ለነሱም,Jaraatiifis
256,ለነብስ,Lubbuuuf
257,ለኑሮ,Jireenyaaf
258,ለናንተ,Isiniif
259,ለኔ,"Anaaf, Naaf"
260,ለኔ ነዉ,Anaafi
261,ለንቅሳት,Tumaaf
262,ለኛ,"Keenyaaf, Nuf"
263,ለአሁን,Ammaaf
264,ለአለም,Addunyaaf
265,ለአመል,Amalaafi
266,ለአሞራ,Allattiif
267,ለአባት,Abbaafi
268,ለአንድ,Tokkof
269,ለአክብሮት,Kabajaf
270,ለአጥንት,Lafeefi
271,ለአፍ,Afaaniif
272,ለእነሱ,Isaaniif
273,ለእናት,Haadhaafi
274,ለእንትን,Waniifi
275,ለካ,Safare
276,ለወንድ,Dhiiraaf
277,ለወንጀል,Yakkaaf
278,ለወደፊት,Fuulduraaf
279,ለወጠ,"Jijiirama, Jijjiirre"
280,ለውጥ,Jijjiirrama
281,ለዉጥ,"Jijiirama, Jijjiirama, Jijjiiramni"
282,ለዘላለም,Yaroo hundaaf
283,ለዘመድ,Firaaf
284,ለዘር,Sanyiif
285,ለዘብተኛ,Suutumee
286,ለዘዴ,Malaaf
287,ለዚሁ,Kanumaafuu
288,ለያዥ,Qabduuf
289,ለይስሙላ,Afaanumaaf
290,ለድምፅ,Sagaleefi
291,ለጉራ,Oftuulummaaf
292,ለጉዞ,Adeemsaafii
293,ለጉዳት,Miidhaaf
294,ለጊዜዉ,Yaroofii
295,ለጋ,Xobbee
296,ለጋስ,Arjoomma
297,ለጋሸ,Arjoomaa
298,ለጋሽ,Arjaa
299,ለግዜ,Yeroof
300,ለጠዋት,Ganamaaf
301,ለጤና,Fayyaafi
302,ለጥያለ,Diriiraa
303,ለጦርነት,Waraanaafi
304,ለፈተና,Qormaataaf
305,ለፈጣሪ,"Rabbitti, Waaqaaf"
306,ለፍላፊ,Haasawaa
307,ሉጫ,Luuccaa
308,ሊሂድ,"Adeemuu, Dhaquu"
309,ሊሆን ነዉ,Ta’uufi
310,ሊመጣ,Dhufuuf
311,ሊቀመልአክ,Ergamaa ergamootarra caalu
312,ሊቀመንበር,Dura taa’aa
313,ሊቀጳጳስ,Duree phaaphaasii
314,ሊቅ,Hayyuu
315,ሊታተም,Maxxansamuuf
316,ሊጥ,"Bukoo, Qooshaa, bukoo"
317,ሊፒስቲክ,Liipistikii
318,ላመል,Kadhate
319,ላም,"Loon, Sa’aa, Saawa"
320,ላምባ፣ፋኖስ,Laambaa
321,ላሞች,"Loonifi, Sa’awani"
322,ላሰ,Arraabee
323,ላስቲክ,Laastikii
324,ላባ,Baallee
325,ላብ,Dafqa
326,ላብ ,Dafqa
327,ላት,Diboo
328,ላንቃ,"Laagaa, Qonqo"
329,ላንተ,Siif
330,ላንተ ስል,Siifan
331,ላንቺ,Siif
332,ላንቺ ስል,Siifan
333,ላንጋኖ,Laangaannoo
334,ላኩ,Ergaa
335,ላኪ,Ergitu
336,ላይ,"Gubbaa, Olii"
337,ላይ ላይ,Oliirratti
338,ላይ ታች,Olgadii
339,ላይ ወጣ,Yaabee-Ol
340,ላይለን,Lailoonii
341,ላጉድል,Hir’isuu
342,ላጠ,Luqqise
343,ላጡ,Soofaa
344,ላጤ,Nama kophaa jiraatu
345,ላጫ,Gooroora
346,ላጫ/ምራቅ,Gooroora
347,ላጫም,Gorooraa
348,ላጲስ,Haqxuu
349,ሌሊት,Halkan
350,ሌላ,Kanbiraa
351,ሌላ ስም,Maqbiroo
352,ሌላዉ,"Kaaniimo, Kabiroo"
353,ሌሎች,Kan biraa
354,ሌባ,Hattuu
355,ሌባዉ,Hatticha
356,ሌቦች,Hattoota
357,ሌንስ,Waan ija laaluu gargaaru
358,ሌዘር,Leezerii
359,ሌጦ,Miilan
360,ልመና,"Eegala, jalqaba wahii"
361,ልማቱ,Missoma
362,ልማት,"Misomaa, Misooma, Misoomaa, Misoomni"
363,ልማዳዊ,Barmootaan
364,ልማድ,"Duudhaa, seera"
365,ልምምድ,"Shaakala, Shaakaluu"
366,ልምድ,"Muuxannoo, Muuxxannoo"
367,ልምዶች,Muuxannoolee
368,ልስላሴ,Laafaa
369,ልቀሙ,Funaana
370,ልቀቅ,Gadhisi
371,ልቀይር,Jijjiruu
372,ልቆይ,Turuu
373,ልበል,Jedhuree?
374,ልባስ,Qadaaduu
375,ልባዊ,Lapheedhaan
376,ልብ,Qalbii
377,ልብ ወለድ,Asoosama
378,ልብማለት,Caqasanii
379,ልብስ,"Huccuu, Wayaa, huccuu, Wayyaa"
380,ልብወለድ,Oduu durii
381,ልቦለድ,Oduu durii
382,ልትይዝ ነዉ,Qabbuufii
383,ልኑር,Jiraadhu
384,ልዑል,Ilma warra mooti
385,ልክ,"Qaceelaa, matarra"
386,ልዋሽህ/ሽ,Sisobu
387,ልዋጥ,Liqimsuu
388,ልውውጥ,Wal jijjiirraa
389,ልዉሰድ,Fudhadhuu
390,ልዩ,Adda
391,ልዩነት,"Addadduma, Garaa garummaa, Garaagarummaa"
392,ልጀገረድ,Durba
393,ልጁ,Gurbichi
394,ልጃገረድ,"Dubra, Durba"
395,ልጅ,"Daa’ma, Ilmoo, Mucaa"
396,ልጅቷ,Intalitiin
397,ልጅነት,"Daa’imummaa, Jollummaan"
398,ልጆች,"Ijollee, Ijoollee, Ilmaan"
399,ልጆች!,Ijoolle!
400,ልጆችም,Ijooleenis
401,ልጋብዝሽ/ህ,Sinaffeera
402,ልጓም,"Silbaaba, luugama"
403,ልጠቀም,Gargaaramuu
404,ልጠብ,Miicu
405,ልጣልሽ,Sigatu
406,ልጣጭ,Qola
407,ልጣፍ,Erbee
408,ልፋጭ,Xelxxeba
409,ሎሌ,Ajajamaa
410,ሎሚ,Loomii
411,ሎተሪ,Lootarii
412,ሎቲ,Lootii
413,መሀላ,Kakaa
414,መሃላ,Kakaa
415,መሀል,"Gidduu, walakkaa"
416,መሐል,Jidduu
417,መሃል,"Giddu, Jidduu"
418,መሃረብ,Maharaabii
419,መሀሪ,Dhiisaa
420,መሃን,Masseena
421,መሃንነት,Masseenumaa
422,መሀንዲስ,Maandisa
423,መሐንዲስ,Ogeessa ijaarsaa
424,መሀከለኛ,Giddugala
425,መሃከለኛ,Walakkeessa
426,መሀይምነት,"Wallaalummaa, doofummaa"
427,መሄድ,"Adeemu, Adeemuu, Deemuu"
428,መሆን,"Ta’amu, Ta’insaa, Ta’uu, Taa’uu"
429,መሆን ነዉ,Tahuudha
430,መለመን,"Kadhaa, Kadhachu, Kadhachuu"
431,መለማመድ,Shaakaluu
432,መለምለም,Lalisaa
433,መለቃቀም,Funaanuu
434,መለኛ,Maltuu
435,መለአክ,Ergamaa
436,መለኪያ,Madaala
437,መለካት,Bikkooma
438,መለወጥ,"Jijiiramu, Jijjiiramummaa, Jijjiiramuu, Jijjiiruu"
439,መለዋወጥ,Wal jijjiirruu
440,መለየት,Addummaa
441,መለያየት,"Adda ba’uu, Addaan Baasuu"
442,መለያየት ,Addan basuu
443,መለገስ,Arjoomuu
444,መለጠፍ,Lassanamaa
445,መላ,Mala
446,መላስ,"Arraabuu, Harraabu"
447,መላቀቅ/መለያየት,Walgadhiisu
448,መላዓክት,Malaikaa
449,መላእክት,"Ergamoota, maleekoota"
450,መላክ,Erguu
451,መላጣ,Moluu
452,መላጥ,"Quncisuu, Soofuu"
453,መላጨት,Haadduu
454,መላጭ,Haaduu
455,መልህቅ,Gadiitoo
456,መልመድ,Baruu
457,መልመጃ,Shaakala
458,መልሰ,Deebii
459,መልስ,"Debii, Deebbi, Deebii"
460,መልቀቅ,"Gadhiisuu, Lakkisu"
461,መልበስ,Uffachuu
462,መልአክ,"Ergamaa, maleekaa"
463,መልእክተኛ,Ergamaa
464,መልእክት,Ergaa
465,መልካ,Malkaa
466,መልካም,Gaarii
467,መልክተኛ,Ergamaa
468,መልክተኞች,Ergamiitota
469,መልክት,Dhaamsa
470,መልፋት,Dhama’uu
471,መመለስ,"Debi’uu, Deebisuu"
472,መመለከት,Ilaaluu
473,መመሰጥ,Yaadaan deemuu
474,መመሳሰል,Wal-Fakkeenyaa
475,መመስከር,Dhugaa ba’uu
476,መመረት,Oomiishamuu
477,መመረዝ,Summaa’uu
478,መመረግ,Lassanuu
479,መመረጥ,Filamuu
480,መመሪያ,"Qajeelchaa, Qajeelfama"
481,መመሪያዎች,Danbii
482,መመራመር,"Qorachiisuu, Qorannoo"
483,መመራረቅ,Waleebbisu
484,መመራት,Qajeelifaamuu
485,መመራወር,Wal-Darbatu
486,መመርመር,"Qoratamuu, Xinxaalamu"
487,መመንዘር,Hiikuu
488,መመንጨቅ,Waa nama harkaa butuu
489,መመኘት,"Hawwu, Hawwuu"
490,መመከር,Gorfamu
491,መመካከር,Mari’achuu
492,መመዘኛ,Ulaagaa
493,መመዝገብ,Galmeessuu
494,መመደብ,Ramaduu
495,መመገብ,Nyaachuu
496,መሙላት,Guutuu
497,መማል,"Kakachuu, Kakuu"
498,መማር,Barachuu
499,መማፀን,Kadhachuu
500,መምህራን,Barsiisota
501,መምህር,Barsiisaa
502,መምሰል,Fakkaachuu
503,መምረጥ,Filachuu
504,መምሪያ,Qajeelfama
505,መምታት,"Rukuchaa, Rukuchuu, Rukutuu"
506,መምከር,Gorsuu
507,መምገል,Mala’uu
508,መምጣት,Dhufuu
509,መሞት,"Du’u, Du’uu"
510,መሞኘት,Goowwoomuu
511,መሞከር,Yaalu
512,መሰላት,Seetee
513,መሰላቸት,Muufachuu
514,መሰላቸዉ,See’an
515,መሰልቸት,Nuffuu
516,መሰልጠን,"Leenji’uu, Qaroomummaa"
517,መሰማት,Caqasuu
518,መሰሰት,"Doqna, sassattuu"
519,መሠረታዊ,Bu’uraawaa
520,መሰረታዊ,Bu’uura
521,መሠረት,"B’uura, Hundee"
522,መሰረት,"Bu’ura, Bu’uraa, Bu’uura"
523,መሰረዝ,"Haquu, dhiisuu"
524,መሰርሰሪያ,Urtuu
525,መሰቀል,Yabbuu
526,መሰባበር,"Caccabuu, Unkuteessuu"
527,መሰብሰብ,"Sassaabuu, Walgahu"
528,መሰናክል,Gufuu
529,መሰንጠቅ,Baqaquu
530,መሰካት,Itti suuquu
531,መሰወር,Dhoksuu
532,መሰዋት,Wareeguu
533,መሰየም,"Maqaa moggaasuu, Moggaafachuu"
534,መሰደድ,Godaanuu
535,መሰጠት,Kennamu
536,መሳል,Qaracha
537,መሳም,"Dhungacha, Dhungachuu, Dhungoo"
538,መሳሳም,Wal dhungachuu
539,መሳሳት,Dogogora
540,መሣሪያ,Meeshaa
541,መሳሪያ,"Meeshaa, Meeshaa waa ittiin hojjetan"
542,መሳሪያዎች,Meeshaalee
543,መሣርያ,Meeshaa
544,መሳቅ,Kolfuu
545,መሳብ,Harkisuu
546,መሳተፍ,Hirmaachuu
547,መሳት,Bira ga’uu dhabuu
548,መሳካት,Milkaa’uu
549,መሳይ,Fakkataa
550,መሳደብ,"Arabsuu, Arrabsu"
551,መስመር,"Sarara, Sararaa"
552,መስመሮች,Tarreelee
553,መስማማት,Waliigaluun
554,መስማማት ነዉ,Waliigaludha
555,መስማት,"Dhaga’uu, Dhagayuu, Dhaggeeffachuu"
556,መስማት የተሳነው,Duudaa
557,መስማት የተሳነዉ,Dudda
558,መስረቅ,"Hatu, Hatuu"
559,መሥራት,Dalaguu
560,መስራት,Hojjachuu
561,መሥራች,Hundeessaa
562,መስራች,"Hundeessaa, hundeessituu"
563,መስቀል,"Fannisuu, Fannoo, Masqalaa"
564,መስቀያ,Fannoo
565,መስበር,"Cabsu, Cabsuu"
566,መስበክ,Lallabu
567,መስተካከል,Sirraa’uu
568,መስተዳደር,Bulchu
569,መስታወሻ,Yaadannoo
570,መስታወት,Oflaallee
571,መስታዉት,"Daawwiitii, Ilaaltu"
572,መስኖ,Jallisii
573,መስከረም,Fulbaana
574,መስኮት,Foddaa
575,መስዋአት,Wareegamu
576,መስዋዕት,Wareega
577,መስዋእትነት,Aarsaa ta’uu
578,መስደብ,Arrabsuu
579,መስጂድ,Masajida
580,መስገድ,Sagaduu
581,መስጊድ,"Masgiida, Mesgiida"
582,መስጠት,"Kennachuu, Kennu, Laachuu"
583,መስፈሪያ,Safartu
584,መስፈር,Safaruu
585,መስፋፋት,Tamsa’inni
586,መረመረ,Qoratee
587,መረሳት,Irraanfatamuu
588,መረቀ,Eebise
589,መረቅ,Suuphana
590,መረበሽ,Jeequu
591,መረብ,"Kiyyoo, Maraabii, Saaphana"
592,መረብ ኳስ,Saaphanaa
593,መረዘ,Summeesse
594,መረዳት,"Hubachuu, Hubanaa"
595,መረዳዳት,Walgargaaraa
596,መረጃ,"Odeeffanno, Odeeffannoo"
597,መረጃዎች,Odeeffannoowwan
598,መረጋጋት,Tasgabbii
599,መረጠ,Filaate
600,መሪ,"Durataa’aa, Hoogganaa"
601,መሪ ገዥ,Bulchaa
602,መሪዎች,Hooggantoota
603,መራመድ,"Adeemuu, Tarkaanfachuu"
604,መራራ,"Hadhaa’a, Hadhaawa, Hadhaawwaa"
605,መራር,Hadhaawwaa
606,መራብ,"Agabuu, Beela’uu"
607,መራገጥ,Dhiitta
608,መራጭ,"Filata, Filataa"
609,መሬት,"Ardii, Daacci, Dachee, Lafa"
610,መርህ,Qajeelfama
611,መርማሪ,"Qorataa, Xinxala"
612,መርሳት,"Dagachuu, Irraanfachuu"
613,መርቁ,Eebbisaa
614,መርቅ,Eebbisi
615,መርከበኛ,Marakaba nama oofu
616,መርከብ,"Doonii, Markaba"
617,መርካት,Quufuu
618,መርዝ,Summii
619,መርዳት,"Gargaaru, Gargaaruu"
620,መርገም,Sookka’uu
621,መርገጥ,Dhiitta
622,መርገፍ,Harcaa’uu
623,መርጠብ,Jiidhuu
624,መርጨት,Facaasuu
625,መርፌ,"Lilmoo, Marfe"
626,መሮ,Maroo
627,መሮጥ,Fiiguu
628,መሸ,"Dhi’ee, Halkanaa’e"
629,መሸልቀቅ,Folloqsuu
630,መሸርሸር,Hir’isuu
631,መሸሽ,"Baqachuu, Dheessuu"
632,መሸበት,Harrii baasuu
633,መሸኘት,"Gaggeessuu, Geggeessuu"
634,መሸከም,Baachuu
635,መሸጥ,"Gurguraa, Gurguruu"
636,መሹለኪያ,Qaawwaa itin baqataan
637,መሻሻል,"Fooyinsa, Fooyya’ina, Fooyya’uu"
638,መሻት,Fedhuu
639,መሻገር,"Ce’umsaa, Ceehu"
640,መሻገት,Fangasii adii
641,መሽሎከሎክ,Hulluquu
642,መሽናት,Fincaa’uu
643,መሽከም,Baachuu
644,መሾጎጥ,Suuqqaa
645,መቀለብለብ,Asii fi achi deemuu
646,መቀለድ,"Baaccuu, Qoosuu"
647,መቀላመል,Amala dhabuu
648,መቀላቀል,"Makuu, Walitti makuu"
649,መቀመጫ,"Barcumaa, Kursii, Taa’umsaa, Teessuma, Tessuma"
650,መቀስ,"Maaqasii, Maqasii"
651,መቀስቀስ,"Damaqsee, Dammaqsuu"
652,መቀቀል,Affeeluu
653,መቀበል,Fudhachuu
654,መቀባባት,Haalachuu
655,መቀባት,Dibuu
656,መቀነስ,"Hir’isnu, Hirachuun, Hirdhisuu"
657,መቀነት,Sabatta
658,መቀናጀት,"Qindaa’inaa, Qindaa’uu"
659,መቀየር,"Geeddaruu, Jiijiiramuu, Jijjiiruu, Jijjiramuu"
660,መቀያየር,Waljijjiiruu
661,መቀደድ,Taarsa’uu
662,መቀጠል,Fufuu
663,መቀጣት,Adabamuu
664,መቀጫ,Adaba
665,መቁላት,Akkawuu
666,መቁሰል,Madaawuu
667,መቁረጥ,"Ciruu, Kutuu, Muru"
668,መቁጠር,Lakkaa’uu
669,መቃረን,"Faalluu, Wal-Faallessu"
670,መቃብር,Awwaala
671,መቃን,Goodayyaa
672,መቃወም,Mormuu
673,መቃዠት,Wareeruu
674,መቃጠል,Boba’uu
675,መቅላት,Gorra’uu
676,መቅመስ,Dhandhamuu
677,መቅረብ,"Dhihaachuu, Dhihaatuu"
678,መቅረት,"Hafu, Hafuu"
679,መቅናት,"Hinaaffaa, hinaaftuu"
680,መቅኔ,Dhama
681,መቅደም,Dursuu
682,መቅደስ,Mana amantii
683,መቅደድ,"Baqaqsuu, Tarsaasuu"
684,መቅዳት,Waraabbii
685,መቅድም,Ariirrata
686,መቅጠር,Qacaruu
687,መቅጣት,Adabuu
688,መቆሚያ,Dhadhabbee
689,መቆም,"Dhaabachuu, Ijaajju"
690,መቆንጠጫ,Qabdoo
691,መቆጠር,Lakkaa’amu
692,መቆጠብ,Qusachuu
693,መቆጣት,Dheekkamuun
694,መቆጣጠር,"Sakatta’uu, To’achu, To’achuu"
695,መቆፈሪያ,Doomaa
696,መቆፈር,Qotuu
697,መቋጠር,"Gudunfu, Guduunfachu, Guduunfu"
698,መበለጥ,"Caalaammoo, Caalaammuu"
699,መበላለጥ,Wal-Caalu
700,መበላት,Tortoruu
701,መበልጸግ,"Fix bahaa, tujjaromaa"
702,መበስበስ,Tortoruu
703,መበርገግ,Birrachuu
704,መበቀል,Haaloo baafachuu
705,መበተን,Facaasuu
706,መበታተን,Didiga
707,መበደር,Liqeeffachuu
708,መበዳደል,Walmiidhuun
709,መበጠር,Saca’uu
710,መበጥበጥ,Bulbuluu
711,መባል,Jedhamu
712,መባረክ,Eebbisuu
713,መባዛት,Baay’achuu
714,መብለጥ,Caaluu
715,መብላት,Nyaachuu
716,መብል,"Nyaata, midhaan"
717,መብሰልሰል,Buusee-Baasee
718,መብሳት,"Uruu, Uuruu"
719,መብረር,Barrisuu
720,መብረቅ,"Bakakkaa, Bakkakaa, Qaqawwee"
721,መብራት,Ibsaa
722,መብቃት,"Gahaa, ga’aa"
723,መብት,"Mirga, Mirgi"
724,መብዛት,Baayachuu
725,መቦረቅ,Nashaaxa
726,መተላለፊያ,"Qaxxaamuru, cee’uu"
727,መተሳሰር,Wal-Hidhiinsa
728,መተረክ,Seenaa himuu
729,መተርጎም,"Hiikuu, jacha biratti hiikuu"
730,መተት,Tolcha
731,መተንበይ,Raajuu
732,መተንፈስ,Hafuura
733,መተኛት,"Ciisuu, Rafuu"
734,መተኮስ,Dhukkasa
735,መተው,"Dhiisu, lakkisi, lakkisuu"
736,መተዉ,Dhiisuu
737,መተጋገዝ,Walta’iinsa
738,መተጫጨት,Wal kaadhimmachuu
